Sampler,Lab,SiteNum,NERRSiteNum,Date,Season,Year,ID,Sample No,SiteName,Storm,Rep,TN,TP,Phosphate,SilicaJ,NNN,Ammonia,Chla,TSS,Comments,Time,Temp,SpCond,Salinity,DO,DOSat,Depthm,pH,Turbidity,Comment
DOH,DOH,H2,2,6/12/2014,1,2014,322202,GT06121402,Heeia Lower,,,192,22,,29200,161,12,0,8,Chlorophyll a not analyzed.,10:50 AM,24.05,,0.09,6.24,74.2,,8.18,2.92,Sunny
DOH,DOH,H6,10,6/12/2014,1,2014,322201,GT06121401,Heeia Mouth,,,99,42,,15400,1,26,0,6,Chlorophyll a not analyzed.,10:05 AM,25.72,,12.9,4.34,57.2,,7.37,13.9,Negative flow
DOH,DOH,H1,1,6/12/2014,1,2014,322203,GT06121403,Heeia Upper,,,70,23,,28800,40,6,0,9,Chlorophyll a not analyzed.,11:30 AM,22.72,,0.07,6.19,73.6,,8.45,0.9,Special Run
DOH,DOH,H2,2,6/26/2014,1,2014,322202,GT06261402,Heeia Lower,,,241,25,,28700,165,4,0,3,"Cholorophyll ""a"" was not analyzed.",9:10 AM,23.17,,0.09,7.85,91.9,,7.96,2.64,Special Run
DOH,DOH,H6,10,6/26/2014,1,2014,322201,GT06261401,Heeia Mouth,,,199,40,,10300,6,67,0,12,"Special run, Negative flow &quot;0.00&quot; value for chlorophyll &quot;s&quot; means that this analysis was not done.",8:45 AM,26.24,,20.38,4.14,58.1,,7.33,10.1,Negative flow
DOH,DOH,H1,1,6/26/2014,1,2014,322203,GT06261403,Heeia Upper,,,115,25,,28300,41,2,0,12,"Chlorophyll ""a"" analysis was not done",10:35 AM,21.24,,0.07,8.13,91.8,,8.2,0.76,Special Run
DOH,DOH,H2,2,7/9/2014,1,2014,322202,GT07091402,Heeia Lower,,,261,25,,28900,188,10,0,3,"Chlorophyll ""a"" analysis was not done.",10:45 AM,23.14,,0.09,6.58,77,,7.99,2.91,Special Run
DOH,DOH,H6,10,7/9/2014,1,2014,322201,GT07091401,Heeia Mouth,,,192,20,,6300,8,36,0,9,"Chlorophyll ""a"" analysis was not dpne.",10:15 AM,26.25,,22.6,4.12,55.3,,7.8,5.92,"Negative Flow, high tide."
DOH,DOH,H1,1,7/9/2014,1,2014,322203,GT07091403,Heeia Upper,,,90,22,,28500,45,5,0,1,"Chlorophyll 'a"" was not analyzed.",11:15 AM,21.41,,0.07,8.38,91.1,,8.25,1.03,Special Run
DOH,DOH,H2,2,7/24/2014,1,2014,322202,GT07241402,Heeia Lower,,,550,21,,27500,310,8,0,2,"Chlorophyll ""a"" not analyzed.",1:11 PM,23.44,,0.09,7.75,91.4,,7.77,3.06,Stream morphology changed
DOH,DOH,H6,10,7/24/2014,1,2014,322201,GT07241401,Heeia Mouth,,,100,18,,2400,2,18,0,16,"Chlorophyll ""a"" was not analyzed.",12:50 PM,28.06,,26.05,7.24,108.6,,7.88,5.28,"Sunny, negative flow, high tide"
DOH,DOH,H1,1,7/24/2014,1,2014,322203,GT07241403,Heeia Upper,,,101,23,,27800,57,5,0,1,"Chlorophyll ""a"" not analyzed.",1:30 PM,22.27,,0.08,8.2,94.6,,7.8,0.73,Special Run
DOH,DOH,H2,2,8/14/2014,1,2014,322202,GT08141402,Heeia Lower,,,252,24,,28300,100,4,0,2,"Chlorophyll ""a"" not analyzed",11:15 AM,24.35,,0.09,8.1,96.9,,7.98,2.5,Special Run
